id,code,accounting_id,name,initial_balance,final_balance,debit_movement,credit_movement,third_party_type_id,third_party_id,currency_id,year,month,deleted_at,created_at,updated_at
105,1.101,1101,Caja,0.0,3525000.0,3525000.0,0.0,Contact,1,,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
106,1.101,1101,Caja,0.0,59500.0,59500.0,0.0,Contact,13,,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
107,1.101,1101,Caja,0.0,4972500.0,4972500.0,0.0,Contact,142,,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
108,1.301,1301,Clientes,0.0,-3570000.0,0.0,3570000.0,Contact,1,,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
109,1.301,1301,Clientes,0.0,3570000.0,3570000.0,0.0,Contact,1,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
110,1.301,1301,Clientes,0.0,-59500.0,0.0,59500.0,Contact,13,,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
111,1.301,1301,Clientes,0.0,59500.0,59500.0,0.0,Contact,13,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
112,1.301,1301,Clientes,0.0,149940.0,149940.0,0.0,Contact,34,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
113,1.301,1301,Clientes,0.0,5549501.0,5549501.0,0.0,Contact,42,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
114,1.301,1301,Clientes,0.0,529500.0,529500.0,0.0,Contact,80,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
115,1.301,1301,Clientes,0.0,467736.42,467736.42,0.0,Contact,138,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
116,1.301,1301,Clientes,0.0,-5100000.0,0.0,5100000.0,Contact,142,,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
117,1.301,1301,Clientes,0.0,5594445.0,5594445.0,0.0,Contact,142,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
118,1.301,1301,Clientes,0.0,7196100.0,7196100.0,0.0,Contact,145,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
119,1.408,1408,Mercancías no fabricadas por la empresa,0.0,-20000.0,0.0,20000.0,Contact,1,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
120,1.408,1408,Mercancías no fabricadas por la empresa,0.0,-55769.230769,0.0,55769.230769,Contact,13,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
121,1.408,1408,Mercancías no fabricadas por la empresa,0.0,-122121.0,0.0,122121.0,Contact,34,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
122,1.408,1408,Mercancías no fabricadas por la empresa,0.0,450000.0,450000.0,0.0,Contact,71,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
